sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,36,,良好,2.6,0.22,35,39,17,5,12,14.2,1.8,0.7,287,2026/02/26 16:00:00,0.2,4.4,16,1,121.760056,25.129167,1
汐止,新北市,33,,良好,5.8,0.23,32,33,19,9,14,16.5,1.9,1.6,54,2026/02/26 16:00:00,0.2,7,18,1,121.64081,25.06624,2
新店,新北市,43,,良好,2.8,0.36,28,35,25,10,18,21.3,2.5,0.5,23,2026/02/26 16:00:00,0.2,6.4,19,0,121.537778,24.977222,4
土城,新北市,52,二氧化氮,普通,2.1,0.47,23,34,33,10,24,27.2,2.4,0.3,129,2026/02/26 16:00:00,0.3,5.5,21,0,121.451861,24.982528,5
板橋,新北市,52,二氧化氮,普通,2.8,0.51,25,33,26,14,24,28.2,3.3,1,79,2026/02/26 16:00:00,0.3,11.5,20,1,121.458667,25.012972,6
新莊,新北市,40,,良好,1.1,0.35,32,37,32,9,17,20,2.6,2.4,34,2026/02/26 16:00:00,0.3,8.9,,0,121.4325,25.037972,7
菜寮,新北市,45,,良好,0.9,0.44,28,35,28,8,19,22.5,2.5,1.1,121,2026/02/26 16:00:00,0.3,7.4,18,1,121.481028,25.06895,8
林口,新北市,33,,良好,1.2,0.18,41,36,26,8,5,6.2,0.8,2.2,329,2026/02/26 16:00:00,0.2,7.6,17,1,121.36548982,25.07798949,9
淡水,新北市,33,,良好,0.6,0.25,33,36,20,9,6,7.6,0.9,,,2026/02/26 16:00:00,0.2,7,14,0,121.449239,25.1645,10
士林,臺北市,33,,良好,0.5,0.27,33,36,20,6,11,12.8,1.4,0.4,353,2026/02/26 16:00:00,0.2,6.3,15,0,121.51666356,25.10334003,11
中山,臺北市,45,,良好,1.1,0.38,28,31,29,15,19,22.3,2.7,1.8,128,2026/02/26 16:00:00,0.3,9.8,23,0,121.526528,25.062361,12
萬華,臺北市,54,二氧化氮,普通,1.9,0.41,20,30,25,10,27,30.6,3.5,1.2,77,2026/02/26 16:00:00,0.3,8.1,20,1,121.507972,25.046503,13
古亭,臺北市,43,,良好,3.1,0.32,26,33,30,12,18,20.5,1.9,0.3,6,2026/02/26 16:00:00,0.2,7.6,23,1,121.529556,25.020608,14
松山,臺北市,53,二氧化氮,普通,4.2,0.32,22,31,24,11,25,29.6,4,1.1,78,2026/02/26 16:00:00,0.2,9.5,18,1,121.578611,25.05,15
大同,臺北市,61,二氧化氮,普通,1.1,0.98,12,19,28,13,38,70.3,31.4,-,-,2026/02/26 16:00:00,0.7,11.8,17,1,121.51342074,25.06331455,16
桃園,桃園市,38,,良好,2.3,0.34,39,40,28,8,,,,2.2,356,2026/02/26 16:00:00,0.3,6.9,23,0,121.30500531,24.9947107,17
大園,桃園市,37,,良好,0.4,0.21,44,38,25,9,6,7.8,1.2,3.8,19,2026/02/26 16:00:00,0.2,7.7,22,1,121.20251473,25.06100357,18
觀音,桃園市,39,,良好,0.5,0.18,46,42,26,6,4,5.2,1,3.1,59,2026/02/26 16:00:00,0.1,6,22,0,121.08283092,25.03556747,19
平鎮,桃園市,48,,良好,0.8,0.28,37,37,34,7,13,15.4,2.1,1.3,40,2026/02/26 16:00:00,0.3,7.8,29,0,121.203986,24.952786,20
龍潭,桃園市,53,細懸浮微粒,普通,2.3,0.3,43,41,38,14,17,18.2,1,3.1,336,2026/02/26 16:00:00,0.3,13.1,28,1,121.21645772,24.86400048,21
湖口,新竹縣,40,,良好,0.6,0.19,48,43,28,9,3,3.6,0,2.8,20,2026/02/26 16:00:00,0.2,7.5,24,0,121.03886894,24.90009696,22
竹東,新竹縣,54,細懸浮微粒,普通,1.2,0.28,53,42,39,16,12,14.2,1.5,2.9,314,2026/02/26 16:00:00,0.2,13.7,29,0,121.08895493,24.74091408,23
