sitename,county,aqi,distance_to_taipei,latitude,longitude,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,siteid
基隆,基隆市,40,26.1,25.129167,121.760056,,良好,4.3,0.23,32,40,21,9,17,19.2,1.9,0.4,308,2026/02/26 17:00:00,0.2,5.1,17,1,1
汐止,新北市,45,12.64,25.06624,121.64081,,良好,3.3,0.28,27,34,26,6,19,21.5,2.4,2.3,71,2026/02/26 17:00:00,0.2,7,19,1,2
新店,新北市,54,8.12,24.977222,121.537778,二氧化氮,普通,2.1,0.42,20,33,28,10,27,29.7,2.5,1,14,2026/02/26 17:00:00,0.3,7.1,21,1,4
土城,新北市,55,9.79,24.982528,121.451861,二氧化氮,普通,2,0.53,17,33,32,11,29,31.8,1.8,0.8,319,2026/02/26 17:00:00,0.3,6.7,24,0,5
板橋,新北市,52,7.04,25.012972,121.458667,二氧化氮,普通,2.6,0.48,24,32,32,11,24,27.5,2.7,1.8,346,2026/02/26 17:00:00,0.3,11.5,22,1,6
新莊,新北市,43,8.58,25.037972,121.4325,,良好,0.6,0.31,27,36,42,10,18,20.5,1.6,1.9,17,2026/02/26 17:00:00,0.2,9,,0,7
菜寮,新北市,40,4.32,25.06895,121.481028,,良好,1,0.39,28,35,31,8,17,19.7,1.9,1.8,5,2026/02/26 17:00:00,0.3,7.3,21,1,8
林口,新北市,34,15.63,25.07798949,121.36548982,,良好,0.9,0.19,40,37,18,9,6,7.7,0.7,1.8,9,2026/02/26 17:00:00,0.2,7.9,18,1,9
淡水,新北市,35,14.66,25.1645,121.449239,,良好,0.6,0.25,41,38,16,6,5,6.6,0.9,,,2026/02/26 17:00:00,0.2,6.8,15,0,10
士林,臺北市,33,6.18,25.10334003,121.51666356,,良好,0.6,0.28,30,36,33,11,13,14.5,1.3,0.7,256,2026/02/26 17:00:00,0.2,7.1,19,0,11
中山,臺北市,54,1.88,25.062361,121.526528,二氧化氮,普通,1.9,0.43,19,31,28,12,27,30.3,3.2,1.3,128,2026/02/26 17:00:00,0.3,10.3,24,1,12
萬華,臺北市,58,0.92,25.046503,121.507972,二氧化氮,普通,2.8,0.46,14,28,31,14,33,37.2,3.5,0.8,13,2026/02/26 17:00:00,0.3,9.5,22,1,13
古亭,臺北市,53,3.28,25.020608,121.529556,二氧化氮,普通,3.6,0.41,18,31,34,12,25,27.5,1.7,0.2,50,2026/02/26 17:00:00,0.2,8.4,26,1,14
松山,臺北市,55,6.21,25.05,121.578611,二氧化氮,普通,5,0.4,17,30,28,13,29,34,4.5,1,63,2026/02/26 17:00:00,0.2,10.2,21,2,15
大同,臺北市,64,1.76,25.06331455,121.51342074,二氧化氮,普通,1.7,1.34,7,18,27,16,42,82.1,39.4,-,-,2026/02/26 17:00:00,0.8,13.2,21,1,16
桃園,桃園市,40,22.16,24.9947107,121.30500531,,良好,1.1,0.31,40,41,25,7,12,13.2,0.4,2.1,342,2026/02/26 17:00:00,0.3,6.9,24,1,17
大園,桃園市,38,31.71,25.06100357,121.20251473,,良好,0.4,0.2,42,41,21,8,8,9.8,1.3,5.3,30,2026/02/26 17:00:00,0.2,7.6,22,1,18
觀音,桃園市,41,43.76,25.03556747,121.08283092,,良好,0.3,0.19,45,44,28,8,4,5.3,0.6,3.8,56,2026/02/26 17:00:00,0.1,6.6,22,0,19
平鎮,桃園市,50,33.27,24.952786,121.203986,,良好,0.4,0.28,35,38,31,9,15,17.2,1.8,1.8,39,2026/02/26 17:00:00,0.3,7.9,30,0,20
龍潭,桃園市,54,36.55,24.86400048,121.21645772,細懸浮微粒,普通,1.8,0.27,37,42,38,13,15,16.4,1.3,2.3,357,2026/02/26 17:00:00,0.3,13.6,31,1,21
湖口,新竹縣,42,50.92,24.90009696,121.03886894,,良好,0.5,0.21,45,45,30,7,3,4,0.1,2.3,31,2026/02/26 17:00:00,0.2,7.7,25,0,22
竹東,新竹縣,54,55.03,24.74091408,121.08895493,細懸浮微粒,普通,1,0.25,42,45,35,16,10,11.7,1.6,2.6,304,2026/02/26 17:00:00,0.2,13.7,29,0,23
新竹,新竹市,47,61.17,24.8056356,120.97236752,,良好,1,0.28,44,44,33,7,7,8.6,0.7,2,41,2026/02/26 17:00:00,0.2,7.2,28,1,24
頭份,苗栗縣,57,73.57,24.69690679,120.89869286,懸浮微粒,普通,0.2,0.25,44,43,42,10,6,7.8,1.6,2.6,354,2026/02/26 17:00:00,0.2,9.1,36,1,25
苗栗,苗栗縣,42,88.49,24.56499183,120.82011468,,良好,1.7,0.24,49,45,34,11,5,6.1,1.1,2.2,359,2026/02/26 17:00:00,0.2,10.5,25,1,26
三義,苗栗縣,52,106.43,24.38248443,120.75956754,細懸浮微粒,普通,1,0.24,52,51,36,10,5,5.8,0.7,2.4,7,2026/02/26 17:00:00,0.2,12.8,29,0,27
豐原,臺中市,65,117.72,24.25699731,120.74252414,細懸浮微粒,普通,0.8,0.28,50,54,48,18,12,13.8,1.3,2.2,323,2026/02/26 17:00:00,0.3,17.7,38,1,28
沙鹿,臺中市,52,132.45,24.225628,120.568794,懸浮微粒,普通,0.9,0.23,52,47,40,8,4,4.7,0.4,3.9,314,2026/02/26 17:00:00,0.2,9.9,32,0,29
大里,臺中市,,135.3,24.09961111,120.67844444,,良好,,0.34,46,,53,12,12,14.9,1.9,2.9,259,2026/02/26 17:00:00,,,,1,30
忠明,臺中市,54,133.28,24.151958,120.641092,細懸浮微粒,普通,1.3,0.3,43,43,34,12,11,13,1.7,2.2,310,2026/02/26 17:00:00,0.3,13.6,32,1,31
西屯,臺中市,55,134.08,24.162197,120.616917,懸浮微粒,普通,1.6,0.26,46,48,47,11,,,,2.8,294,2026/02/26 17:00:00,0.2,10.9,35,1,32
彰化,彰化縣,61,147.14,24.066,120.541519,懸浮微粒,普通,5,0.46,39,41,53,15,14,16.4,1.6,2.4,344,2026/02/26 17:00:00,0.3,14.2,40,1,33
線西,彰化縣,58,146.98,24.131672,120.469061,細懸浮微粒,普通,0.3,0.19,51,43,38,13,4,6,2,5.1,294,2026/02/26 17:00:00,0.2,14.9,34,1,34
二林,彰化縣,71,167.75,23.925175,120.409653,懸浮微粒,普通,1.4,0.21,50,49,56,13,1,2.4,1.3,3.1,319,2026/02/26 17:00:00,0.2,14.3,49,2,35
南投,南投縣,73,151.68,23.913,120.685306,細懸浮微粒,普通,1.2,0.27,50,52,44,24,7,8.9,1.3,2.1,296,2026/02/26 17:00:00,0.2,20.5,39,0,36
斗六,雲林縣,68,178.21,23.711853,120.544994,細懸浮微粒,普通,1.8,0.21,51,53,52,14,5,6.1,1,2.4,297,2026/02/26 17:00:00,0.2,18.7,45,1,37
崙背,雲林縣,68,185.95,23.757547,120.348742,懸浮微粒,普通,1.1,0.19,47,46,45,11,2,3.6,0.9,2.1,298,2026/02/26 17:00:00,0.2,14,46,1,38
新港,嘉義縣,78,204.09,23.554839,120.345531,懸浮微粒,普通,2.2,0.21,53,49,56,25,4,6.1,1.2,3.1,287,2026/02/26 17:00:00,0.2,19.6,55,1,39
朴子,嘉義縣,63,217.98,23.46538,120.2478,懸浮微粒,普通,1.3,0.22,53,49,44,17,4,5.6,1,2.5,334,2026/02/26 17:00:00,0.2,14.1,42,1,40
臺西,雲林縣,63,200.49,23.702175,120.19933333,懸浮微粒,普通,2.9,0.2,44,45,38,14,10,11.9,1.9,3.1,6,2026/02/26 17:00:00,0.2,13.4,42,2,41
嘉義,嘉義市,75,207.07,23.46477865,120.44125148,細懸浮微粒,普通,3,0.27,51,50,51,21,6,7.2,0.8,3.8,337,2026/02/26 17:00:00,0.3,21.1,48,2,42
新營,臺南市,65,228.77,23.305633,120.31725,懸浮微粒,普通,1.2,0.22,46,45,48,0,6,7.3,0.5,2.4,340,2026/02/26 17:00:00,0.2,14.2,44,1,43
善化,臺南市,61,248.18,23.11337642,120.29740529,懸浮微粒,普通,0.8,0.18,50,46,38,14,5,6.1,0.8,2.7,316,2026/02/26 17:00:00,0.2,15.6,40,1,44
安南,臺南市,73,258.55,23.048197,120.2175,懸浮微粒,普通,1.5,0.24,53,48,46,18,4,5.7,1.5,2.2,305,2026/02/26 17:00:00,0.2,17.1,51,1,45
臺南,臺南市,63,264.12,22.98928311,120.21947897,細懸浮微粒,普通,1.5,0.27,54,48,46,15,7,8.3,0.9,2,338,2026/02/26 17:00:00,0.3,17,39,1,46
